2016-08-09,1691,舜飞,舜飞,1,0,0,0,0,0
2016-08-19,1111,UC,观秦,580,23,23,23,1,100
2016-08-13,1346,点锐,点锐,74,0,0,0,0,0
2016-08-12,1025,Taptica,Taptica,1,0,0,0,0,0
2016-08-12,1156,百度贴吧,多盟,16,0,0,0,0,0
2016-08-26,1111,UC,乐思,463,97,95,96,5,60
2016-08-23,1513,新浪粉丝通,灵动,6525,1188,1155,1182,26,446
2016-08-23,2668,iqu,大树时代,322,1,1,2,0,0
2016-08-27,1168,智汇推,厦门微众,10977,185,176,176,10,210
2016-08-27,1564,百度关键字,景美,142,12,11,11,1,6
2016-08-27,2668,iqu,大树时代,694,5,5,4,0,0
2016-08-26,1111,UC,观秦,304,6,4,4,0,0
2016-08-24,2669,舜飞CPA,舜飞CPA,3,0,0,0,0,0
2016-08-23,1045,今日头条,宽皓,87,24,23,23,0,0
2016-08-23,1048,Mobvista,Mobvista,354213,380,359,363,9,166
2016-09-02,1505,紫龙官网,紫龙互娱,6,1,1,1,0,0
2016-08-21,1168,智汇推,厦门微众,2306,52,51,52,1,36
2016-08-21,2664,targetmedia,大树时代,46,0,0,0,0,0
2016-08-28,1513,新浪粉丝通,天拓,6064,706,684,703,20,278
2016-08-22,1045,今日头条,宽皓,78,24,23,23,2,402
2016-09-01,1045,今日头条,艾德思奇,124,2,2,2,0,0
2016-09-01,1168,智汇推,灵动,42,18,18,18,0,0
2016-09-01,2214,游道易,信中元,3,0,0,0,0,0
2016-09-12,1111,UC,观秦,65,2,2,3,0,0
2016-09-03,1111,UC,观秦,259,20,20,22,1,6
2016-09-03,2232,掌游宝,信中元,1,0,0,0,0,0
2016-09-03,2668,iqu,大树时代,5,0,0,0,0,0
2016-09-07,1048,Mobvista,Mobvista,68897,143,140,138,6,104
2016-09-07,1168,智汇推,厦门微众,293,4,4,5,0,0
2016-09-06,1513,新浪粉丝通,灵动,570,85,85,87,2,334
2016-09-06,1354,wap站麒点,麒点,149,0,0,0,0,0
2016-09-09,1185,百度品牌专区,百度品牌专区,62,9,9,8,0,0
2016-09-08,1045,今日头条,艾德思奇,431,10,10,10,1,30
2016-09-08,1168,智汇推,浩趣,1,0,0,0,0,0
2016-09-11,1513,新浪粉丝通,天拓,3817,371,371,381,12,540
2016-09-13,1481,Helium,大树时代,4,0,0,0,0,0
2016-09-04,1513,新浪粉丝通,灵动,6296,954,953,968,25,1498
2016-09-05,1111,UC,乐思,322,25,25,26,1,6
2016-09-05,1400,Matomy,大树时代,2,0,0,0,0,0
2016-09-05,2176,wap站巨鲨,巨鲨,7,0,0,0,0,0
2016-09-24,1045,今日头条,天擎,880,5,5,6,0,0
2016-09-19,1045,今日头条,宽皓,1,0,0,0,0,0
2016-09-25,1045,今日头条,天擎,1026,2,2,2,0,0
2016-09-23,1045,今日头条,天擎,128,0,0,0,0,0
2016-09-23,1185,百度品牌专区,景美,201,28,18,21,1,6
2016-09-21,1513,新浪粉丝通,天拓,1025,95,95,96,5,122
2016-09-21,2135,U9,U9,3,0,0,0,0,0
2016-09-21,1156,百度贴吧,宽皓,1,0,0,0,0,0
2016-09-21,1168,智汇推,亿科思奇,11,0,0,0,0,0
2016-09-21,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-10-09,2425,聚点,聚点,5,0,0,0,0,0
2016-09-17,1513,新浪粉丝通,天拓,1862,173,173,175,5,224
2016-09-17,1266,搜狐汇算,掌握,16,0,0,0,0,0
2016-10-09,1168,智汇推,亿科思奇,25,6,5,4,1,6
2016-10-09,2176,wap站巨鲨,巨鲨,64665,48,46,42,6,96
2016-09-15,1045,今日头条,亿科思奇,239,9,9,9,1,6
2016-09-15,1021,百度DSP,景美,2,0,0,0,0,0
2016-09-22,1045,今日头条,天擎,16,2,2,2,0,0
2016-09-14,1048,Mobvista,Mobvista,145887,92,92,88,5,88
2016-09-16,1045,今日头条,米迪,12,4,4,4,0,0
2016-10-30,1185,百度品牌专区,景美,244,49,30,39,2,36
2016-10-29,1266,搜狐汇算,睿道,6,0,0,0,0,0
2016-11-01,1045,今日头条,亿科思奇,2248,62,62,66,3,18
2016-11-01,1045,今日头条,慧推,186,3,3,3,0,0
2016-10-04,1156,百度贴吧,多盟,1,0,0,0,0,0
2016-10-04,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-10-04,1513,新浪粉丝通,天拓,1076,153,153,153,8,492
2016-10-11,1168,智汇推,多盟,116,23,23,24,1,36
2016-10-03,1168,智汇推,多盟,42,15,15,16,2,36
2016-10-03,1717,限免大全,信中元,11,7,7,7,0,0
2016-10-06,2667,yeahmobi,yeahmobi,140903,145,144,138,8,538
2016-10-06,2684,STP,STP,4,0,0,0,0,0
2016-10-03,1266,搜狐汇算,掌握,16,0,0,0,0,0
2016-10-06,2671,supersonic,大树时代,1,2,2,2,0,0
2016-09-28,1045,今日头条,亿科思奇,717,25,18,20,0,0
2016-10-07,1168,智汇推,厦门微众,1827,23,23,21,1,6
2016-10-07,1045,今日头条,亿科思奇,1040,22,19,19,1,6
2016-09-28,1513,新浪粉丝通,灵动,47,2,2,2,0,0
2016-10-14,1058,网易新闻客户端,共和盛世,814,10,7,8,0,0
2016-10-14,1111,UC,观秦,101,0,0,0,0,0
2016-10-14,1266,搜狐汇算,睿道,1672,3,3,3,0,0
2016-10-14,1156,百度贴吧,多盟,1,0,0,0,0,0
2016-10-26,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-10-26,1266,搜狐汇算,睿道,5,0,0,0,0,0
2016-10-26,1021,百度DSP,景美,3,0,0,0,0,0
